00 Person
00 9995
00 no additional info
00 1
00 111
00 male
00 200
00 6
00 Data was recorded 60 times per second
00 Date and Time: 2/5/2024 10:48:12 AM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):266879.5  stage:0 time_period:30 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):269777.3 force plate (fx, fy, fz, mx, my, mz):0.6117268,2.052,-0.5263672,-10.46777,-1.805481,-0.09479094
01 timestamp(ms):269812.5 force plate (fx, fy, fz, mx, my, mz):1.267025,2.063532,-0.5258789,-10.57294,-1.774475,-0.007232666
01 timestamp(ms):269841.5 force plate (fx, fy, fz, mx, my, mz):0.6131153,2.314411,-0.1540527,-10.99976,-1.605621,-0.04984522
01 timestamp(ms):269869.7 force plate (fx, fy, fz, mx, my, mz):0.6168251,2.066401,0.03417969,-10.9364,-1.704987,-0.09163189
01 timestamp(ms):269899.2 force plate (fx, fy, fz, mx, my, mz):0.6167183,2.069653,0.03393555,-11.04034,-1.638489,-0.09103727
01 timestamp(ms):269934.1 force plate (fx, fy, fz, mx, my, mz):0.9432964,2.066044,0.03540039,-10.93628,-1.623047,-0.1840749
01 timestamp(ms):269962 force plate (fx, fy, fz, mx, my, mz):0.950285,1.38002,-1.277832,-12.4137,-1.258301,-0.02828169
01 timestamp(ms):269995.1 force plate (fx, fy, fz, mx, my, mz):0.9510174,1.381638,-1.09082,-12.46558,-1.29129,-0.02779627
01 timestamp(ms):270023.6 force plate (fx, fy, fz, mx, my, mz):0.611742,1.131355,-1.280273,-12.50659,-1.340759,-0.07893801
01 timestamp(ms):270059.7 force plate (fx, fy, fz, mx, my, mz):0.9706135,-0.04495239,0.7766113,-13.96033,-1.08905,-0.09770823
01 timestamp(ms):270088.3 force plate (fx, fy, fz, mx, my, mz):0.3078938,0.1964569,0.9597168,-14.02332,-1.153473,-0.05775023
01 timestamp(ms):270115.6 force plate (fx, fy, fz, mx, my, mz):0.309927,-0.04828453,0.7739258,-14.06427,-1.053833,-0.0993185
01 timestamp(ms):270145.2 force plate (fx, fy, fz, mx, my, mz):0.6401691,-0.2866116,0.9624023,-14.0014,-1.004639,0.03782272
01 timestamp(ms):270177.4 force plate (fx, fy, fz, mx, my, mz):0.6341209,-0.5216732,0.3996582,-14.66663,-0.9723206,-0.1862154
01 timestamp(ms):270209.9 force plate (fx, fy, fz, mx, my, mz):0.6287689,-0.2786846,0.02539063,-14.57391,-0.9729309,-0.1453471
01 timestamp(ms):270240.9 force plate (fx, fy, fz, mx, my, mz):0.6333885,-0.5232887,0.2124023,-14.61481,-0.9393005,-0.1867008
01 timestamp(ms):270273.9 force plate (fx, fy, fz, mx, my, mz):0.9647789,-0.0006217957,0.02319336,-15.41907,-0.7577515,-0.003867149
01 timestamp(ms):270300.2 force plate (fx, fy, fz, mx, my, mz):0.9717979,-0.003803253,0.2121582,-15.36633,-0.723999,-0.08889198
01 timestamp(ms):270337.7 force plate (fx, fy, fz, mx, my, mz):0.307436,-0.2530785,0.3962402,-15.40704,-0.7883911,-0.04761219
01 timestamp(ms):270366.2 force plate (fx, fy, fz, mx, my, mz):0.9723587,-0.4723415,0.02246094,-16.12524,-0.7573853,-0.08218384
01 timestamp(ms):270396 force plate (fx, fy, fz, mx, my, mz):0.6368713,-0.4805393,0.2094727,-16.07227,-0.7397461,-0.1770229
01 timestamp(ms):270425.5 force plate (fx, fy, fz, mx, my, mz):0.3106842,-0.4816532,0.02026367,-16.02087,-0.722168,-0.0852232
01 timestamp(ms):270459 force plate (fx, fy, fz, mx, my, mz):0.6483917,-0.4744205,0.3950195,-16.02124,-0.7723694,0.009485245
01 timestamp(ms):270489.5 force plate (fx, fy, fz, mx, my, mz):0.6374664,0.01702118,-0.9165039,-16.40845,-0.9406433,-0.1761727
01 timestamp(ms):270524.8 force plate (fx, fy, fz, mx, my, mz):0.6407051,-0.2288513,-0.5419922,-16.39655,-0.940033,-0.2177138
01 timestamp(ms):270557.9 force plate (fx, fy, fz, mx, my, mz):0.9743347,-0.2191696,-0.9155273,-16.5014,-0.9246216,-0.1226068
01 timestamp(ms):270593.2 force plate (fx, fy, fz, mx, my, mz):1.317987,0.04527092,0.9555664,-16.82483,-0.9065857,0.01619196
01 timestamp(ms):270624.3 force plate (fx, fy, fz, mx, my, mz):0.9799137,0.03692818,0.7695313,-16.77191,-0.8229675,-0.07886553
01 timestamp(ms):270654.5 force plate (fx, fy, fz, mx, my, mz):0.65555,0.04015923,0.7670898,-16.87659,-0.9048767,0.01425314
